Ranking,Country Code,Location,Consumption(GWh/yr),Year,Source,Population,As of,Consumption per capita kWh/yr,Watts
46,CZE,Czech Republic,"62,000",2021[4],EIA,"10,510,748",2021[5],5899,673
60,DNK,Denmark,"38,000",2021[4],EIA,"5,854,246",2021[5],6491,740
179,DJI,Djibouti,500,2021[4],EIA,"1,105,562",2021[5],452,52
200,DMA,Dominica,200,2021[4],EIA,"72,435",2021[5],2761,315
82,DOM,Dominican Republic,"15,000",2021[4],EIA,"11,117,873",2021[5],1349,154
68,ECU,Ecuador,"27,000",2021[4],EIA,"17,797,736",2021[5],1517,173
24,EGY,Egypt,"168,000",2021[4],EIA,"109,262,184",2021[5],1538,175
119,SLV,El Salvador,"6,400",2021[4],EIA,"6,314,165",2021[5],1014,116
154,GNQ,Equatorial Guinea,"1,300",2021[4],EIA,"1,634,473",2021[5],795,91
184,ERI,Eritrea,400,2021[4],EIA,"3,620,324",2021[5],110,13
106,EST,Estonia,"8,800",2021[4],EIA,"1,328,704",2021[5],6623,756
103,ETH,Ethiopia,"9,500",2021[4],EIA,"120,283,024",2021[5],79,9
216,FLK,Falkland Islands,18.32,2018 est.,EIA,"2,931",2016,4759,543
185,FRO,Faroe Islands,400,2021[4],EIA,"52,915",2021[5],7559,862
159,FJI,Fiji,"1,000",2021[4],EIA,"924,615",2021[5],1082,123
36,FIN,Finland,"84,000",2021[4],EIA,"5,535,982",2021[5],15173,1731
10,FRA,France,"447,000",2021[4],EIA,"64,531,448",2021[5],6927,790
168,PYF,French Polynesia,600,2021[4],EIA,"304,038",2021[5],1973,225
145,GAB,Gabon,"2,400",2021[4],EIA,"2,341,185",2021[5],1025,117
193,GMB,Gambia,200,2021[4],EIA,"2,639,922",2021[5],76,9
92,GEO,Georgia,"13,000",2021[4],EIA,"3,757,984",2021[5],3459,395
9,DEU,Germany,"512,000",2021[4],EIA,"83,408,560",2021[5],6138,700
75,GHA,Ghana,"18,000",2021[4],EIA,"32,833,036",2021[5],548,63
196,GIB,Gibraltar,200,2021[4],EIA,"32,698",2021[5],6117,698
51,GRC,Greece,"52,000",2021[4],EIA,"10,445,368",2021[5],4978,568
172,GRL,Greenland,600,2021[4],EIA,"56,266",2021[5],10664,1217
197,GRD,Grenada,200,2021[4],EIA,"124,624",2021[5],1605,183
151,GUM,Guam,"1,700",2021[4],EIA,"170,546",2021[5],9968,1137
93,GTM,Guatemala,"13,000",2021[4],EIA,"17,608,484",2021[5],738,84
144,GIN,Guinea,"2,500",2021[4],EIA,"13,531,909",2021[5],185,21
212,GNB,Guinea-Bissau,39.06,2018 est.,EIA,"1,920,920",2019,20,2
